TEMP.no.negatives.2,DO,vel_cm_s,meanHSIo,WDP,ZICE,ZSNOW,Perimeter,Hectares,max_depth,avg_fetch,sdi,econ,pct_outl,num_outl,pct_aqveg,CHLcal,FDD,dis_z_score,OBJECTID,SHEETBAR,FLDNUM,Month,Day,Year,uniq_id,AQUA_CODE,AQUA_DESC,pool,DEPTH_HSI_2m,TEMP_HSI,DO_HSI,VELOCITY_HSI,HSI_winter_cover,HSI_Winter_water_quality,HSI_winter_other
1.2,9.3,0,0.55,0.45,22,20,1607.140167,5.612267451,1.8,0.086472936,1.913725502,0,3.383551781,1,9.025659444,0,1561,-0.712556096,6333,41022816,1,1,29,2014,P04_CFL_2,CFL,Contiguous Floodplain Lake,P04,0.2,0.53,1,1,0.2,0.69,1
0.1,12.8,2,0.05,0.3,40,6,3072.34107,16.43305992,2.25,0.168731355,2.137988059,0,7.599239793,1,13.23196242,2.589,1021.5,-0.580694814,3174,41000850,1,1,20,1994,P04_CFL_3,CFL,Contiguous Floodplain Lake,P04,0.65,0.05,1,0.99,0.65,0.05,0.19
0.7,10.3,0,0.535,0.98,49,12,3072.34107,16.43305992,2.25,0.168731355,2.137988059,0,7.599239793,1,13.23196242,17.47431,754.5,-0.692789908,4805,41013997,1,1,26,2005,P04_CFL_3,CFL,Contiguous Floodplain Lake,P04,0.65,0.35,1,1,0.65,0.35,1
0.7,13,0,0.565,1.07,27,7,3072.34107,16.43305992,2.25,0.168731355,2.137988059,0,7.599239793,1,13.23196242,18.5243,410.75,-0.745586437,5168,41015982,1,1,24,2007,P04_CFL_3,CFL,Contiguous Floodplain Lake,P04,0.65,0.35,1,1,0.65,0.35,1
0.8,13,0,0.4,0.48,14,3,3072.34107,16.43305992,2.25,0.168731355,2.137988059,0,7.599239793,1,13.23196242,16.9617,410.75,-0.745586437,5170,41015983,1,1,24,2007,P04_CFL_3,CFL,Contiguous Floodplain Lake,P04,0.65,0.4,1,1,0.65,0.4,1
0.4,10.3,1,0.475,1.07,47,19,3072.34107,16.43305992,2.25,0.168731355,2.137988059,0,7.599239793,1,13.23196242,0.99693,1263,-0.476662245,5869,41020105,1,1,31,2011,P04_CFL_3,CFL,Contiguous Floodplain Lake,P04,0.65,0.2,1,0.99,0.65,0.2,0.4
1,9,1,0.415,0.56,34,11,1170.351766,1.580079229,0.76,0.076177785,2.626467619,0,9.032141632,1,0,4.95165,1021.5,-0.593698885,3212,41000878,1,1,24,1994,P04_CFL_6,CFL,Contiguous Floodplain Lake,P04,0.2,0.5,1,0.99,0.2,0.67,0.4
4.8,12.4,2,0.555,0.59,0,0,2067.889801,10.52887971,1.3,0.084137186,1.79775861,0,6.120166478,1,19.13396022,10.03977,1149.75,-0.696691129,4459,41010621,1,1,29,2001,P04_CFL_13,CFL,Contiguous Floodplain Lake,P04,0.2,1,1,0.99,0.2,1,0.19
0.3,12.6,4,0.075,0.77,23,3,5226.963228,67.8390212,2.68,0.6799223,1.790213082,22.0054953,13.82838862,3,9.256464513,2.0916,1021.5,-0.622307842,3177,41000852,1,1,21,1994,P04_CFL_15,CFL,Contiguous Floodplain Lake,P04,0.24,0.15,1,0.98,0.24,0.15,0
0.3,12.4,4,0.075,0.61,29,6,5226.963228,67.8390212,2.68,0.6799223,1.790213082,22.0054953,13.82838862,3,9.256464513,7.3143,1021.5,-0.622307842,3179,41000853,1,1,21,1994,P04_CFL_15,CFL,Contiguous Floodplain Lake,P04,0.24,0.15,1,0.98,0.24,0.15,0
